radio,ரேடியோ
irappukku,இறப்புக்கு
aalagindranar,ஆளாகின்றனர்
</s>,</s>
porireengal,போரிரீன்கள்
paasureengal,பாசுபிரீன்கள்
silireengal,சிலிரீன்கள்
enbavai,என்பவை
poraan,போரான்
paasuparasu,பாசுபரசு
silicon,சிலிக்கன்
thanimangal,தனிமங்கள்
pathileedu,பதிலீடு
seyyappatta,செய்யப்பட்ட
saiklopuropeenkalaagum,சைக்ளோபுரோப்பீன்களாகும்
</s>,</s>
seeroli,சீரொளி
</s>,</s>
thamizhaga,தமிழக
aarugalin,ஆறுகளின்
pattiyal,பட்டியல்
</s>,</s>
kidaikodukalin,கிடைக்கோடுகளின்
munaigal,முனைகள்
irupuramum,இருபுறமும்
kuthuk,குத்துக்
kodukalal,கோடுகளால்
inaikkappattirukum,இணைக்கப்பட்டிருக்கும்
</s>,</s>
ulagam,உலகம்
muzhuvathum,முழுதுமாக
moththam,மொத்தம்
16.3,16.3
million,மில்லியன்
makkal,மக்கள்
echabaiyin,இச்சபையின்
uripinarkalaga,உறுப்பினர்களாக
ullanar,உள்ளனர்
</s>,</s>
naatiyathara,நாட்டியதாரா
</s>,</s>
enave,எனவே
kandal,கண்டல்
thaavarangalil,தாவரங்களில்
verizhaiyangalukku,வேரிழையங்களுக்கு
oxygen,ஆக்சிசன்
vazhanguvatharkkaga,வழங்குவதற்காக
moochu,மூச்சு
vergal,வேர்கள்
koorppadaithullana,கூர்ப்படைந்துள்ளன
</s>,</s>
elam,இளம்
vayathilirunthey,வயதிலிருந்தே
ilakiyathil,இலக்கியத்தில்
aarvam,ஆர்வம்
kaatinaar,காட்டினார்
kirekkam,கிரேம்
mattrum,மற்றும்
roman,ரோமன்
thonmangalai,தொன்மங்களைப்
padiththaar,படித்தார்
kirim,கிரிம்
sagothararkalin,சகோதரர்களின்
kathaikalai,கதைகளைப்
padiththathaal,படித்ததால்
ivar,இவர்
pikaalaththil,பிற்காலத்தில்
ayropavudan,ஐரோப்பாவுடன்
inainthaar,இணைந்தார்
</s>,</s>
pannaattu,பன்னாட்டுச்
selavaani,செலாவணி
amaippai,அமைப்பை
kattuppadutha,கட்டுப்படுத்த
vendiya,வேண்டிய
vidhigal,விதிகள்
amaipugal,அமைப்புகள்
mattrum,மற்றும்
seyalmuraigalai,செயல்முறைகளை
niruvida,நிறுவிட
britain,பிரெட்டன்
utsu,வுட்சு
thittaviyalaalargal,திட்டவியலாளர்கள்
tharpothu,தற்போது
ulaga,உலக
vangi,வங்கிக்
kuzhumathin,குழுமத்தின்
angangalaka,அங்கங்களாக
ulla,உள்ள
pannaattu,பன்னாட்டு
naanaya,நாணய
nidhiyam,நிதியம்
imf,IMF
mattrum,மற்றும்
pannaattu,பன்னாட்டு
punaramaippu,புனரமைப்பு
mattrum,மற்றும்
mempaatu,மேம்பாட்டு
vangi,வங்கி
ibrd,IBRD
aagiyavattrai,ஆகியவறை
uruvaakinaar,உருவாக்கினர்
</s>,</s>
ulagamayamathalin,உலகமயமாதலின்
pala,பல
amsangalukku,அம்சங்களுக்கு
avar,அவர்
therivitha,தெரிவித்த
ethirppu,எதிர்ப்பு
avarai,அவரை
charchaikkuriya,சர்ச்சைக்குரிய
oru,ஒரு
nabarakiyullathu,நபராக்கியுள்ளது
</s>,</s>
panam,பணம்
vaanguvathil,வாங்குவதில்
ozhungumurai,ஒழுங்குமுறை
allathu,அல்லது
indhiya,இந்திய
arasaangathinaal,அரசாங்கத்தினால்
kodukkappatta,கொடுக்கப்பட்ட
porupuruthi,பொறுப்புறுதி
yetheynum,ஏதேனும்
</s>,</s>
tanna,தன்னா
dosti,தோஸ்தி
friends,பிரன்ட்ஸ்
forever,பாரெவெர்
endra,என்ற
boolywood,பாலிவுட்
padathil,படத்தில்
nandhini,நந்தினி
"thabaar"" endra","தப்பார் ""என்ற"
paathirathil,பாத்திரத்தில்
december,டிசம்பர்
2005yil,2005இல்
arimugamaanar,அறிமுகமானார்
</s>,</s>
ivanukku,இவனுக்குப்
pin,பின்
ivanudaiya,இவனுடைய
maganaana,மகனான
santhamugan,சந்தமுகன்
aatchipeedam,ஆட்சிபீடம்
yerinaan,ஏறினான்
</s>,</s>
naadaga,நாடக
muraiyil,முறையில்
karpithal,கற்பித்தல்
</s>,</s>
kaattru,காற்று
maasupaattai,மாசுபாட்டை
bumikki,பூமிக்கு
miga,மிக
arugil,அருகில்
puthaippini,புகைப்பனி
vaithiruppathaal,வைத்திருப்பதால்
kaattril,காற்றில்
natchuthanmai,நச்சுத்தன்மை
athimagirathu,அதிகமாகிறது
</s>,</s>
muthanmuthalaga,முதன்முதலாக
kathuppu-meen,கதுப்பு-மீன்
thuduppukalai,துடுப்புக்களைக்
konda,கொண்ட
meenkalum,மீன்களும்
ezhumpukalai,எழும்புகளைக்
konda,கொண்ட
meengalum,மீன்களும்
koorvadaithana,கூர்வடைந்தன
</s>,</s>
ithu,இது
americavin,அமெரிக்கவின்
neavy,நேவி
seals,சீல்ஸ்
mattrum,மற்றும்
pirithaaniyavin,பிரித்தானியாவின்
sirappu,சிறப்பு
padaku,படகு
sevaiyudanum,சேவையுடனும்
oppidappadukindrathu,ஒப்பிடப்படுகின்றது
</s>,</s>
catholikka,கத்தோலிக்க
seerthirutham,சீர்திருத்தம்
16aam,16ஆம்
nootraandil,நூற்றாண்டில்
nizhalnthapothu,நிகழ்ந்தபோது
christhuva,கிறித்தவக்
kalaiyum,கலையும்
valarnthathu,வளர்ந்தது
</s>,</s>
ippadathil,இப்படத்தில்
moondru,மூன்று
paadalkal,பாடல்கள்
ullana,உள்ளன
</s>,</s>
kiramapuragalil,கிராமப்புரங்களில்
marangalai,மரங்களை
naduvatharkum,நடுவதற்கும்
avattari,அவற்றைப்
paathukkapatharkum,பாதுகாப்பதற்கும்
kootruravu,கூட்டுறவுச்
sangankal,சங்கங்கள்
yerpaduthappattana,ஏற்படுத்தப்பட்டன
</s>,</s>
john,ஜான்
misel,மிசெல்
than,தான்
muthanmuthalil,முதன்முதலில்
1767,1767
aam,ஆம்
aandil,ஆண்டில்
irattai,இரட்டை
natchathirangal,நட்சத்திரங்கள்
ondrudan,ஒன்றுடன்
ondru,ஒன்று
thodarbudaiyavaiyaga,தொடர்புபட்டவையாக
irukkalam,இருக்கலாம்
endru,என்று
vaadhittar,வாதிட்டார்
</s>,</s>
mole,மோல்
enbathu,என்னும்
udalil ulla,உடலிலுள்ள
maruvai,மறுவைக் குறிக்கும்
udalil,உடலில்
mul,முள்
pole,போல்
ullamaiyaal,உள்ளமையால்
mole,மோல்
enappattathu,எனப்பட்டது
</s>,</s>
moorkamaana,மூர்க்கமான
ivai,இவை
thoondappattal,தூண்டப்பட்டால்
kottum,கொட்டும்
</s>,</s>
greeka,கிரேக்கக்
kattidakkalaiyil,கட்டிடக்கலையில்
moondru,மூன்று
vaigaiyaana,வகையான
olungukkal,ஒழுங்குகள்
payanpaatil,பயன்பாட்டில்
irundhana,இருந்தன
</s>,</s>
ivvaaru,இவ்வாறு
thamathu,தமது
iruppu,இருப்பு
nilai,நிலை
arikaigal,அறிக்கைகள்
siranthu,சிறந்து
kaanappaduvatharkaga,காணப்படுவதற்காக
avargal,அவர்கள்
athiga,அதிகக்
kadan,கடன்
vazhangavum,வழங்கவும்
athanaal,அதனால்
vilaikal,விலைகள்
uyara,உயர
athan,அதன்
kaaranamaga,காரணமாக
melum,மேலும்
athigamaka,அதிகமாகக்
kadankalai,கடன்களை
vazhangalayinar,வழங்கலாயினர்
</s>,</s>
melum,மேலும்
athey,அதே
soolnilai,சூழ்நிலைச்
sitrinaththai,சிற்றினத்தைச்
saarntha,சார்ந்த
soolnilai,சூழ்நிலை
vagaikaludan,வகைகளுடன்
valamana,வளமான
kalapinangalai,கலப்பினங்களை
undakupavaiyaagum,உண்டாக்குபவையாகும்
</s>,</s>
intha,இந்த
izhappu,இழப்பு
ullirukkum,உள்ளிருக்கும்
noi,நோய்
kaaranamaga,காரணமாக
ariyamalaeye,அறியாமலே
yerpadalaam,ஏற்படலாம்
allathu,அல்லது
thanathu,தனது
udar,உடற்
parumanai,பருமனைக்
kuraikka,குறைக்க
merkollum,மேற்கொள்ளும்
muyarchikalal,முயற்சிகளால் ளள
</s>,</s>
puthithaai,புதிதாய்
pirantha,பிறந்த
kunjinkalilum,குஞ்சுகளிலும்
ilam,இளம்
paravaikalilum,பறவைகளிலும்
ivvaarana,இவ்வாறான
thulaiyai,துளையைக்
kaana,காண
iyalaathu,இயலாது
eninum,எனினும்
avatrin,அவற்றின்
meniram,மேநிறம்
periya paravaikalaiyothey,பெரியபறவைகளையொத்தே
irukkum,இருக்கும்
</s>,</s>
irunthaalum,இருந்தாலும்
avarkal,அவர்கள்
panikku,பணிக்கு
sendral,சென்றால்
kuraivaana,குறைவான
oothiyamthaan,ஊதியம்தான்
peramudiyum,பெறமுடிகிறது
</s>,</s>
june,ஜூன்
22,22
aam,ஆம்
theythi,தேதி
mondiriyalai,மொண்டிரியலை
adaintha,அடைந்த
box,பாக்ஸ்
thanathu,தனது
8000,8000
kilometer,கிமீ
thoora,தூர
moththa,மொத்தப்
payanathil,பயணத்தில்
moondriloru,மூன்றிலொரு
pangai,பங்கைக்
kandanthirunthaar,கடந்திருந்தார்
</s>,</s>
ithai,இதை
vaangiyavar,வாங்கியவர்
thaan,தான்
theermaanikum,தீர்மானிக்கும்
oru,ஒரு
nerathilum,நேரத்திலும்
velai,வேலை
nipanthanaikalinkeelum,நிபந்தனைகளின்கீழும்
payanpaduthukirar,பயன்படுத்துகிறார்
pothuvaaka,பொதுவாக
ithai,இதை
avar,அவர்
payanpaduthiyapin,பயன்படுத்தியபின்
atharkaana,அதற்கான
vilaiyai,விலையைச்
seluthukiraar,செலுத்துகிறார்
</s>,</s>
intha,இந்த
pulukkal,புழுக்கள்
kudalil,குடலில்
seritha,செரித்த
unavai,உணவை
utkondu,உட்கொண்டு
udal,உடல்
valarchikku,வளர்ச்சிக்குத்
thadai,தடை
yerpaduthukindrana,ஏற்படுத்துகின்றன
</s>,</s>
belgium,பெல்ஜியம்
naattin,நாட்டின்
brussels,பிரசெல்சு
nagaril,நகரில்
mathiya,மத்தியத்
thodarunthu,தொடருந்து
nilaiyathil,நிலையத்தில்
thaakuthal,தாக்குதல்
nadathappattathu,நடத்தப்பட்டது
</s>,</s>
irupinum,இருப்பினும்
ainthu,ஐந்து
muthalthara,முதல்தர
thudupaatta,துடுப்பாட்டப்
potigalil,போட்டிகளில்
kalanthu,கலந்து
kondullaar,கொண்டுள்ளார்
</s>,</s>
mulmurukkampu,முள்முருக்கம்பூ
soothaga,சூதக
kattu,கட்டு
maadha,மாத
vilakku,விலக்கு
thadai,தடை
neengum,நீங்கும்
</s>,</s>
pattiruppu,பட்டிருப்பு
</s>,</s>
sila,சில
podhuvaana,பொதுவான
therthal,தேர்தல்
vagaikal,வகைகள்
</s>,</s>
ivaiye,இவையே
ithu,இது
neenga,நீந்த
uthavukindrana,உதவுகின்றன
enavey,எனவே
viral,விரல்
ilaiyin,இலையின்
nadu,நடு
narambu,நரம்பு
pola,போல
amainthullathu,அமைந்துள்ளது
mukkulippan,முக்குளிப்பான்
kudipeyaraatha/pulampeyaraatha,குடிபெயராத/புலம்பெயராத
sumaar,சுமார்
23,23 செ
</s>,</s>
ramasamiyidamirunthu,இராமசாமியிடமிருந்து
pirinthu,பிரிந்து
pogum,போகும்
tharunaththai,தருணத்தை
yethirpaathu,எதிர்பார்த்துக்
kaathirunthavargal,காத்திருந்தவர்கள்
july,ஜூலை
9,9
1948,1948
andru,அன்று
ramasamy,இராமசாமி
thannai,தன்னை
vida,விட
40,40
vayathu,வயது
ilaiyavaraana,இளையவரான
maniyammaiyaarai,மணியம்மையாரை
marumanam,மறுமணம்
purinthathai,புரிந்ததைக்
kaaranam,காரணம்
kaatti,காட்டி
katchiyilirunthu,கட்சியிலிருந்து
annadurai,அண்ணாதுரைத்
thalaimaiyil,தலைமையில்
vilaginar,விலகினர்
</s>,</s>
antha,அந்த
marathanil,மராத்தானில்
athiga,அதிக
ennikkaiyil,எண்ணிக்கையில்
palar,பலர்
kalanthukondanar,கலந்துகொண்டனர்
</s>,</s>
imaya,இமய
malaithodar,மலைத்தொடர்
china-india,சீன-இந்திய
ellaiyil,எல்லையில்
ullathu,உள்ளது
</s>,</s>
purapporul,புறப்பொருள்
venbamaalai,வெண்பாமாலை
vetchi,வெட்சிப்
padalathil,படலத்தில்
varum,வரும்
20,20
thuraikalil,துறைகளில்
ondraka,ஒன்றாக
ithanai,இதனைக்
kuripidukirathu,குறிப்பிடுகிறது
</s>,</s>
merkindhiya,மேற்கிந்தியத்
theevukalil,தீவுகளில்
nadantha,நடந்த
2010,2010 பதுஅ
ulaga,உலக
irupathu20,இருபது20
pottiyil,போட்டியில்
pangettra,பங்கேற்ற
indhiya,இந்தியத்
thaduppaatta,துடுப்பாட்ட
aniyin,அணியின்
angathinaraaga,அங்கத்தினராக
thernthedukkappattar,தேர்ந்தெடுக்கப்பட்டார்
</s>,</s>
aadi,ஆடி
thai,தை
iru,இரு
maanthangalil,மாதங்களில்
108,108
patharthangaludan,பதார்தங்களுடன்
poojai,பூசை
seythu,செய்து
pakthargalukku,பக்தர்களுக்கு
vazhangappadukirathu,வழங்கப்படுகிறது
</s>,</s>
ashwin,அஸ்வின்
sidhley,சித்லே
</s>,</s>
francin,பிரான்சின்
puthiya,புதிய
arasiyalamaippai,அரசியலமைப்பை
yerka,ஏற்க
maruththa,மறுத்த
oreyoru,ஒரேயொரு
french,பிரெஞ்சுக்
kudiyettra,குடியேற்ற
naadu,நாடு
idhuvaagum,இதுவாகும்
</s>,</s>
2010,2010
il,இல்
vaankooril,வான்கூவரில்
nadantha,நடந்த
kulirkaala,குளிர்கால
olympicsin,ஒலிம்பிக்சின்
thoovakka,துவக்க
vizhaavil,விழாவில்
olympic,ஒலிம்பிக்
kodiyai,கொடியை
yenthi,ஏந்திச்
sellum,செல்லும்
8,8
porkalil,பேர்களில்
oruvaraaga,ஒருவராகச்
sellum,செல்லும்
vaaippu,வாய்ப்பு
paaxin,பாக்சின்
thaayaarukku,தாயாருக்குக்
kidaithathu,கிடைத்தது
</s>,</s>
kulathil,குளத்தில்
neer,நீர்
vattri,வற்றி
vittal,விட்டால்
vegu,வெகு
thoorathilulla,தூரத்திலுள்ள
mattroru,மற்றொரு
kulathirkku,குளத்திற்கு
paranthu,பறந்து
sellum,செல்லும்
</s>,</s>
intha,இந்த
rayilnilaiyam,ரயில்நிலையம்
fedrick,பிரெட்ரிக்
william,வில்லியம்
stevens,ஸ்டீவென்ஸ்
endra,என்ற
aangila,ஆங்கில
poriyaalaraal,பொறியாளரால்
vadivamaippattathu,வடிவமைக்கப்பட்டது
</s>,</s>
1931,1931
aam,ஆம்
aandu,ஆண்டு
americavil,அமெரிக்காவில்
pannaattu,பன்னாட்டு
arima,அரிமா
kazhagathin,கழகத்தின்
yerpaattil,ஏற்பாட்டில்
nadaipettra,நடைபெற்ற
maanaattil,மாநாட்டில்
vellai,வெள்ளைப்
pirambu,பிரம்பு
kanpaarvai,கண்பார்வை
attravargalin,அற்றவர்களின்
adaiyaala,அடையாளச்
sinnam,சின்னம்
ena,எனப்
pirakadanam,பிரகடனம்
seyyappattathudan,செய்யப்பட்டதுடன்
itharkaana,இதற்கான
satta,சட்ட
angeekaaramum,அங்கீகாரமும்
vazhangappattathu,வழங்கப்பட்டது
</s>,</s>
sannathikkul,சன்னிதிக்குள்
ayyan,ஐயன்
aadhikesava,ஆதிகேசவ
perumaal,பெருமாள்
arugil,அருகில்
paramasivan,பரமசிவன்
veetruppathaiyum,வீற்றிருப்பதையும்
pakthargal,பக்தர்கள்
kaanalam,காணலாம்
</s>,</s>
ivai,இவை
thamizhil,தமிழில்
naamarai,நான்மறை
endru,என்றும்
koorappadum,கூறப்படும்
</s>,</s>
ivarin,இவரின்
muthal,முதல்
manaiviyaana,மனைவியான
saaravukku,சாராவுக்கு
piranthavar,பிறந்தவர்
eezak,ஈசாக்
irandaam,இரண்டாம்
manaiviyaana,மனைவியான
aagarukku,ஆகாருக்கு
piranthavar,பிறந்தவர்
ismayil,இஸ்மாயில்
</s>,</s>
ithan,இதன்
vazhiyaga,வழியாக
avar,அவர்
tham,தம்
maatchiyai,மாட்சியை
velippaduthinaar,வெளிப்படுத்தினார்
</s>,</s>
eppaadi,எப்படி
uruvaakuvathu,உருவாக்குவது
intha,இந்த
vithai,விதைப்
pandhukalai,பந்துகளை
anaivarum,அனைவரும்
arinthukolla,அரிந்துகொள்ள
vendiyathu,வேண்டியது
avasiyamaagum,அவசியமாகும்
</s>,</s>
vaakku,வாக்கு
moolam,மூலம்
</s>,</s>
seyarkaikkole,செயற்கைக்கோள்
tholaikaatchikalil,தொலைக்காட்சிகளில்
arasu,அரசுச்
seythikalai,செய்திகளை
oliparappa,ஒலிபரப்ப
yerpaadum,ஏற்பாடும்
seythaar,செய்தார்
</s>,</s>
aanalumkuda,ஆனாலும்கூட
pengal,பெண்கள்
thangalin,தங்களின்
pangalippaiyum,பங்களிப்பையும்
seythu,செய்து
varukirargal,வருகிறார்கள்
</s>,</s>
sugamaana,சுகான
sumaigal,சுமைகள்
</s>,</s>
munpin,முன்பின்
achu,அச்சுச்
suzharchi,சுழற்சி
kuththu,குத்துச்
suzhalvu,சுழல்வு
allathu,அல்லது
urulvu,உருள்வு
roll,roll
enappadum,எனப்படும்
</s>,</s>
merparappapil,மேற்பரப்பில்
irunthu,இருந்து
kugaikul,குகைக்குள்
ooduruvum,ஊடுருவும்
neerkasivaanathu,நீர்க்கசிவானது
kugaiyin,குகையின்
veppanilai,வெப்பநிலை
urainilaikku,உறைநிலைக்கு
keeley,கீழே
irrukumaanaal,இருக்குமானால்
tharaiyil,தரையில்
sekaramaagi,சேகரமாகி
puttrupaathaiyaga,புற்றுப்பாறையாக
uruvaagirathu,உருவாகிறது
</s>,</s>
oru,ஒரு
maththiya,மத்திய
power,பவர்
iyandhira,இயந்திர
thoguppai,தொகுப்பைப்
payanpaduthi,பயன்படுத்தி
paththaandukalukkul,பத்தாண்டுகளுக்குள்
pala,பல
nagarangal,நகரங்கள்
lighting,லைட்டிங்
amaippukalai,அமைப்புகளைக்
kondirukkum,கொண்டிருக்கும்
intha,இந்த
power,பவர்
pilaandugal,பிளாண்டுகள்
palveru,பல்வேறு
vaadikaiyaalargalukku,வாடிக்கையாளர்களுக்கு
minsaara,மின்சார
kadathu,கடத்து
linegal,லைன்கள்
moolam,மூலம்
minsaarathai,மின்சாரத்தை
vazhangina,வழங்கின
</s>,</s>
ikkolkai,இக்கொள்கை
aariyar,ஆரியர்
varugaikku,வருகைக்கு
munnar,முன்னர்
sinthuveli,சிந்துவெளி
ullitta,உள்ளிட்ட
indhiyaavil,இந்தியாவில்
iruntha,இருந்த
palangudi,பழங்குடி
makkalin,மக்களின்
kolkai,கொள்கை
enpathai,என்பதை
indhiyavil,இந்தியாவில்
thondriya,தோன்றிய
samana,சமண
boutha,பௌத்த
matha,மதக்
kotpaadugalal,கோட்பாடுகளால்
ariyalaam,அறியலாம்
</s>,</s>
pinnar,பின்னர்
ivvalagam,இவ்வளாகம்
anna,அண்ணா
palkalaikkalazhagam,பல்கலைக்கழகம்
aayittru,ஆயிற்று
</s>,</s>
pen,பெண்
uyirgal,உயிரிகள்
muttaiyida,முட்டையிடக்
koodina,கூடியன
</s>,</s>
sirumigalai,சிறுமிகளை
vida,விட
sirithalavu,சிறிதளவே
siruvargal,சிறுவர்கள்
parakkindranar,பிறக்கின்றனர்
americavil,அமெரிக்காவில்
vigithaachaaram,விகிதாச்சாரம்
sumaar,சுமார்
105,105
siruvargalukkum,சிறுவர்களுக்கும்
100,100
sirumigal,சிறுமிகள்
endra,என்ற
vigithathil)aanaal,விகிதத்தில்)ஆனால்
sirumigal,சிறுமிகள்
siruvargalai,சிறுவர்களை
vida,விட
kuraivaaga,குறைவாகவே
siru,சிறு
vayathil,வயதில்
irakka,இறக்கச்
seygirargal,செய்கின்றனர்
</s>,</s>
duet,டூயட்
</s>,</s>
mugilvaanan,முகில்வாணன்
mugivaanan,முகில்வாணன்
raasaiyaa,இராசையா
mattakkalappu,மட்டக்களப்பு
ilangai,இலங்கை
eezhaththu,ஈழத்து
thamizh,தமிழ்
kavingar,கவிஞர்
</s>,</s>
vensabatham,வெண்சபதம்
seivom,செய்வோம்
vedigalena,வெடிகளென
aavom,ஆவோம்
</s>,</s>
neethipathi,நீதிபதி
john,ஜான்
michael,மைக்கேல்
d'kunhavin,டி'குன்ஹாவின்
theerpil,தீர்ப்பில்
ulla,உள்ள
viparangalil,விபரங்களில்
sila,சில
</s>,</s>
nainital,நைநீடால்
vangi,வங்கி
limited,லி
</s>,</s>
kaiyaal,கையால்
varuduvathai,வருடுவதை
yerkirathu,ஏற்கிறது
</s>,</s>
ucha,உச்ச
neethimandram,நீதிமன்றம்
ivargal,இவர்கள்
kaithu,கைது
thodarbaaga,தொடர்பாக
arasidam,அரசிடம்
pala,பல
kelvigalai,கேள்விகளை
ezhupiyathudan,எழுப்பியதுடன்
avarkalai,அவர்களைச்
siraiyil,சிறையில்
adaikaamal,அடைக்ககாமல்
veettu,வீட்டுக்
kaavalil,காவலில்
vaithu,வைத்து
visarikka,விசாரிக்க
uththaravittathu,உத்தரவிட்டது
</s>,</s>
irandu,இரண்டு
thinivudan,திணிவுடன்
,
moondru,மூன்று
soorulvirkalai,சுருள்விற்களை
oru,ஒரு
maiyappulliyil,மையப்புள்ளியில்
poruthinaal,பொருத்தினால்
yerpadum,ஏற்படும்
alaivugal,அலைவுகள்
inai,இணை
alaivugal,அலைவுகள்
aagum,ஆகும்
.,.
</s>,</s>
avarin,அவரின்
aatchi,ஆட்சி
kaalathil,காலத்தில்
indhi,இந்தி
kattaya,கட்டாய
mozhiyaaga,மொழியாகப்
pallikalil,பள்ளிகளில்
arimugappaduthappattathu,அறிமுகப்படுத்தப்பட்டது
</s>,</s>
ivar,இவர்
1987-aam,1987-ஆம்
aandin,ஆண்டின்
february,பிப்பிரவரி
naangaam,நான்காம்
naalil,நாளில்
piranthaar,பிறந்தார்
</s>,</s>
thathuvaroobam,தத்துவரூபம்
aanmaroobam,ஆன்மரூபம்
sivaroobam,சிவரூபம்
ennum,என்னும்
padinilaigal,படிநிலைகள்
ovondrum,ஒவ்வொன்றும்
uruvam,உருவம்
soroobam,சொரூபம்
subaavam,சுபாவம்
viseydam,விசேடம்
viyaththi,வியாத்தி
viyabagam,வியாபகம்
kunam,குணம்
vannam,வன்னம்
-,–
ennum,என்னும்
ettaka,எட்டாகப்
paagupaadu,பாகுபாடு
seyyappattullana,செய்யப்பட்டுள்ளன
</s>,</s>
1947,1947
indhiya,இந்திய
paakisthaan,பாகிஸ்தான்
porin,போரின்
podhu,போது
indha,இந்தக்
kanavaayaanathu,கணவாயானது
paakisthaanaal,பாகிஸ்தானால்
kaippattrappattathu,கைப்பற்றப்பட்டது
</s>,</s>
karaiyora,கரையோரப்
paguthikalai,பகுதிகளைக்
kaippattra,கைப்பற்ற
udhaviyamaikka,உதவியமைக்காக
senova,செனோவா
venisu,வெனிசு
peesa,பீசா
aagiya,ஆகிய
nagarangal,நகரங்கள்
siluvai,சிலுவை
naadukalil,நாடுகளின்
vaniga,வணிக
sirapurimaiyai,சிறப்புரிமையைப்
pettrana,பெற்றன
</s>,</s>
saara,சாரா
thattil,தட்டில்
</s>,</s>
ivvalagathil,இவ்வளாகத்தில்
itharkaana,இதற்கான
maamaraththu,மராமத்து
velaigal,வேலைகள்
nadakkindrana,நடக்கின்றன
</s>,</s>
pazhangaala,பழங்கால
maattrum,மற்றும்
idaikkaala,இடைக்கால
eiroppavil,ஐரோப்பாவில்
karpuram,கற்பூரம்
inippukkalil,இனிப்புக்களில்
ulleettu,உள்ளீட்டுப்
porulaaga,பொருளாக
payanpattathu,பயன்பட்டது
</s>,</s>
elithil,எளிதில்
panamaathalin,பணமாதலின்
mattroru,மற்றொரு
nerthiyaana,நேர்த்தியான
vilakkamaaga,விளக்கமாக
irupathu,இருப்பது
iruthiyaaga,இறுதியாக
niraivetrappatta,நிறைவேற்றப்பட்ட
vilaikku,விலைக்கு
inaiyaagavey,இணையாகவே
adutha,அடுத்த
varthakamum,வர்த்தகமும்
niraivetrappadum,நிறைவேற்றப்படும்
ennum,என்னும்
saathiyakooru,சாத்தியக்கூறு
</s>,</s>
thiruvenba,திருவெம்பா
</s>,</s>
thisaithirinthu,திசைதிரிந்து
therkethinum,தெற்கேகினும்
</s>,</s>
elsa,எல்சா
